Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
2023-04-18,2023-03-31,2.83,2.88
2023-01-19,2022-12-31,0.47,0.12
2022-10-18,2022-09-30,2.11,3.1
2022-07-19,2022-06-30,2.9,3.2
2022-04-19,2022-03-31,2.92,3.53
2022-01-20,2021-12-31,0.82,1.33
2021-10-19,2021-09-30,2.56,3.19
2021-07-20,2021-06-30,3.16,2.97
2021-04-20,2021-03-31,2.98,3.75
2021-01-19,2020-12-31,1.38,1.19
2020-10-20,2020-09-30,2.13,1.74
2020-07-16,2020-06-30,1.84,1.59
2020-04-21,2020-03-31,1.61,1.57
2020-01-21,2019-12-31,0.52,1.3
2019-10-16,2019-09-30,1.05,1.47
2019-07-17,2019-06-30,0.56,0.6
2019-04-16,2019-03-31,0.57,0.76
2019-01-17,2018-12-31,0.24,0.3
2018-10-16,2018-09-30,0.68,0.89
2018-07-16,2018-06-30,0.8,0.85
2018-04-16,2018-03-31,0.63,0.64
2018-01-22,2017-12-31,0.41,0.41
2017-10-16,2017-09-30,0.32,0.29
2017-07-17,2017-06-30,0.16,0.15
2017-04-17,2017-03-31,0.38,0.4
2017-01-18,2016-12-31,0.13,0.15
2016-10-17,2016-09-30,0.06,0.12
2016-07-18,2016-06-30,0.02,0.09
2016-04-18,2016-03-31,0.03,0.06
2016-01-19,2015-12-31,0.02,0.07
2015-10-14,2015-09-30,0.07,0.07
2015-07-15,2015-06-30,0.01,0.01
2015-04-15,2015-03-31,0.1,0.11
2015-01-20,2014-12-31,0.06,0.1
