country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
United States,US,2023-06-11,Films,1,The Boss Baby,,3
United States,US,2023-06-11,Films,2,We're the Millers,,2
United States,US,2023-06-11,Films,3,The Angry Birds Movie,,1
United States,US,2023-06-11,Films,4,The Choice,,2
United States,US,2023-06-11,Films,5,Zookeeper,,1
United States,US,2023-06-11,Films,6,Mean Girls,,4
United States,US,2023-06-11,Films,7,Forever My Girl,,1
United States,US,2023-06-11,Films,8,Funny People,,1
United States,US,2023-06-11,Films,9,The Kingdom,,1
United States,US,2023-06-11,Films,10,To Leslie,,2
United States,US,2023-06-11,TV,1,Never Have I Ever,4,1
United States,US,2023-06-11,TV,2,Manifest,4,6
United States,US,2023-06-11,TV,3,FUBAR,1,3
United States,US,2023-06-11,TV,4,All American,5,3
United States,US,2023-06-11,TV,5,S.W.A.T.,1,4
United States,US,2023-06-11,TV,6,Fake Profile,1,2
United States,US,2023-06-11,TV,7,The Ultimatum: Queer Love,1,2
United States,US,2023-06-11,TV,8,Arnold,Limited,1
United States,US,2023-06-11,TV,9,S.W.A.T.,2,3
United States,US,2023-06-11,TV,10,S.W.A.T.,3,1
United States,US,2023-06-04,Films,1,The Boss Baby,,2
United States,US,2023-06-04,Films,2,Missing,,3
United States,US,2023-06-04,Films,3,We're the Millers,,1
United States,US,2023-06-04,Films,4,To Leslie,,1
United States,US,2023-06-04,Films,5,Dirty Grandpa,,2
United States,US,2023-06-04,Films,6,The Mother,,4
United States,US,2023-06-04,Films,7,The Choice,,1
United States,US,2023-06-04,Films,8,A Man Called Otto,,5
United States,US,2023-06-04,Films,9,The Son,,2
United States,US,2023-06-04,Films,10,Blood & Gold,,1
United States,US,2023-06-04,TV,1,FUBAR,1,2
United States,US,2023-06-04,TV,2,All American,5,2
United States,US,2023-06-04,TV,3,S.W.A.T.,1,3
United States,US,2023-06-04,TV,4,Fake Profile,1,1
United States,US,2023-06-04,TV,5,Manifest,4,5
United States,US,2023-06-04,TV,6,S.W.A.T.,2,2
United States,US,2023-06-04,TV,7,La Reina del Sur,3,3
United States,US,2023-06-04,TV,8,Queen Charlotte: A Bridgerton Story,Limited,5
United States,US,2023-06-04,TV,9,The Ultimatum: Queer Love,1,1
United States,US,2023-06-04,TV,10,Barbecue Showdown,2,1
United States,US,2023-05-28,Films,1,Missing,,2
United States,US,2023-05-28,Films,2,The Mother,,3
United States,US,2023-05-28,Films,3,The Son,,1
United States,US,2023-05-28,Films,4,Ted,,2
United States,US,2023-05-28,Films,5,A Man Called Otto,,4
United States,US,2023-05-28,Films,6,The Boss Baby,,1
United States,US,2023-05-28,Films,7,Mother's Day,,1
United States,US,2023-05-28,Films,8,Victim/Suspect,,1
United States,US,2023-05-28,Films,9,Dirty Grandpa,,1
United States,US,2023-05-28,Films,10,Anna Nicole Smith: You Don't Know Me,,2
United States,US,2023-05-28,TV,1,FUBAR,1,1
United States,US,2023-05-28,TV,2,S.W.A.T.,1,2
United States,US,2023-05-28,TV,3,All American,5,1
United States,US,2023-05-28,TV,4,Selling Sunset,6,2
United States,US,2023-05-28,TV,5,"XO, Kitty",1,2
United States,US,2023-05-28,TV,6,Queen Charlotte: A Bridgerton Story,Limited,4
United States,US,2023-05-28,TV,7,La Reina del Sur,3,2
United States,US,2023-05-28,TV,8,S.W.A.T.,2,1
United States,US,2023-05-28,TV,9,Maid,Limited,11
United States,US,2023-05-28,TV,10,Firefly Lane,2,10
United States,US,2023-05-21,Films,1,The Mother,,2
United States,US,2023-05-21,Films,2,Ted,,1
United States,US,2023-05-21,Films,3,A Man Called Otto,,3
United States,US,2023-05-21,Films,4,Anna Nicole Smith: You Don't Know Me,,1
United States,US,2023-05-21,Films,5,Missing,,1
United States,US,2023-05-21,Films,6,Faithfully Yours,,1
United States,US,2023-05-21,Films,7,¡Que viva México!,,2
United States,US,2023-05-21,Films,8,The Croods,,3
United States,US,2023-05-21,Films,9,UglyDolls,,1
United States,US,2023-05-21,Films,10,Sing 2,,10
United States,US,2023-05-21,TV,1,Queen Charlotte: A Bridgerton Story,Limited,3
United States,US,2023-05-21,TV,2,"XO, Kitty",1,1
United States,US,2023-05-21,TV,3,S.W.A.T.,1,1
United States,US,2023-05-21,TV,4,Selling Sunset,6,1
United States,US,2023-05-21,TV,5,Firefly Lane,2,9
United States,US,2023-05-21,TV,6,Missing: Dead or Alive?,1,2
United States,US,2023-05-21,TV,7,Queer Eye,7,2
United States,US,2023-05-21,TV,8,McGREGOR FOREVER,Limited,1
United States,US,2023-05-21,TV,9,La Reina del Sur,3,1
United States,US,2023-05-21,TV,10,Muted: Season 1,,1
United States,US,2023-05-14,Films,1,The Mother,,1
United States,US,2023-05-14,Films,2,A Man Called Otto,,2
United States,US,2023-05-14,Films,3,The Croods,,2
United States,US,2023-05-14,Films,4,Pitch Perfect,,2
United States,US,2023-05-14,Films,5,G.I. Joe: Retaliation,,2
United States,US,2023-05-14,Films,6,¡Que viva México!,,1
United States,US,2023-05-14,Films,7,Heat,,2
United States,US,2023-05-14,Films,8,American Gangster,,3
United States,US,2023-05-14,Films,9,Flight,,2
United States,US,2023-05-14,Films,10,The Dilemma,,2
United States,US,2023-05-14,TV,1,Queen Charlotte: A Bridgerton Story: Series,Limited,2
United States,US,2023-05-14,TV,2,Missing: Dead or Alive?: Season 1,1,1
United States,US,2023-05-14,TV,3,Firefly Lane: Season 2,2,8
United States,US,2023-05-14,TV,4,Sweet Tooth: Season 2,2,3
United States,US,2023-05-14,TV,5,The Diplomat: Season 1,1,4
United States,US,2023-05-14,TV,6,The Night Agent: Season 1,1,8
United States,US,2023-05-14,TV,7,Bridgerton: Season 1,1,5
United States,US,2023-05-14,TV,8,Queen Cleopatra: Season 1,1,1
United States,US,2023-05-14,TV,9,Queer Eye: Season 7,7,1
United States,US,2023-05-14,TV,10,Better Call Saul: Season 6,6,4
United States,US,2023-05-07,Films,1,A Man Called Otto,,1
United States,US,2023-05-07,Films,2,Pitch Perfect,,1
United States,US,2023-05-07,Films,3,AKA,,2
United States,US,2023-05-07,Films,4,The Dilemma,,1
United States,US,2023-05-07,Films,5,The Croods,,1
United States,US,2023-05-07,Films,6,Above Suspicion,,1
United States,US,2023-05-07,Films,7,Heat,,1
United States,US,2023-05-07,Films,8,The Glass Castle,,1
United States,US,2023-05-07,Films,9,G.I. Joe: Retaliation,,1
United States,US,2023-05-07,Films,10,Tyler Perry's The Family That Preys,,1
United States,US,2023-05-07,TV,1,Queen Charlotte: A Bridgerton Story,Limited,1
United States,US,2023-05-07,TV,2,Firefly Lane,2,7
United States,US,2023-05-07,TV,3,Sweet Tooth,2,2
United States,US,2023-05-07,TV,4,The Diplomat,1,3
United States,US,2023-05-07,TV,5,The Night Agent,1,7
United States,US,2023-05-07,TV,6,Better Call Saul,6,3
United States,US,2023-05-07,TV,7,BEEF,1,5
United States,US,2023-05-07,TV,8,Sweet Tooth,1,2
United States,US,2023-05-07,TV,9,Workin' Moms,7,2
United States,US,2023-05-07,TV,10,Firefly Lane,1,4
United States,US,2023-04-30,Films,1,Whitney Houston: I Wanna Dance with Somebody,,2
United States,US,2023-04-30,Films,2,AKA,,1
United States,US,2023-04-30,Films,3,A Tourist's Guide to Love,,2
United States,US,2023-04-30,Films,4,Dr. Seuss' The Lorax,,4
United States,US,2023-04-30,Films,5,Sing 2,,30
United States,US,2023-04-30,Films,6,Minions: The Rise of Gru,,9
United States,US,2023-04-30,Films,7,Matilda,,4
United States,US,2023-04-30,Films,8,Shrek Forever After,,8
